msg_id,sender,message_text,timestamp_ms,status,from_me,media_url,source,datetime
222.0,24678932443256@lid,Hey,1780564507663.0,13,1.0,,active,2026-06-04 14:45:07
226.0,24678932443256@lid,This message will be deleted,1780564618763.0,13,1.0,,active,2026-06-04 14:46:58
228.0,24678932443256@lid,secret info here,1780564651627.0,13,1.0,,active,2026-06-04 14:47:31
232.0,40407320768745@lid,Hey,1780566026647.0,5,1.0,,active,2026-06-04 15:10:26
235.0,40407320768745@lid,I am just testing whether it will work or not,1780566061101.0,5,1.0,,active,2026-06-04 15:11:01
237.0,40407320768745@lid,these r just testing msgs,1780566512863.0,5,1.0,,active,2026-06-04 15:18:32
238.0,40407320768745@lid,hello,1780566521191.0,5,1.0,,active,2026-06-04 15:18:41
239.0,40407320768745@lid,Hey,1780566649488.0,5,1.0,,active,2026-06-04 15:20:49
241.0,40407320768745@lid,I am good,1780566662398.0,5,1.0,,active,2026-06-04 15:21:02
242.0,40407320768745@lid,Had lunch,1780566685691.0,5,1.0,,active,2026-06-04 15:21:25
243.0,40407320768745@lid,message one forensics test,1780567003055.0,5,1.0,,active,2026-06-04 15:26:43
248.0,Deloitte Capstone_2027,"Form teams of 3–5 students at your discretion.
    A student should not be part of more than one team.
    Each team must designate a Team Captain.",1780567266000.0,0,0.0,,active,2026-06-04 15:31:06
250.0,Deloitte Capstone_2027,We can't able to read the content of the image sir.,1780567285000.0,0,0.0,,active,2026-06-04 15:31:25
252.0,40407320768745@lid,sammu came from school,1780567317490.0,5,1.0,,active,2026-06-04 15:31:57
259.0,🌹🌹तुळजा भवानी भक्तगण🌹🌹,"🚩🚩🌹🌹🌸🌸🕉️🕉️
श्री तुळजाभवानीची आजची पूजा दिनांक04-06-2026 वार गुरुवार 
🚩🚩🌹🌹🌸🌸🕉️🕉️",1780567791000.0,0,0.0,,active,2026-06-04 15:39:51
275.0,Deloitte Capstone_2027,"Dear students,

Find the update below from Deloitte US India, all the shortlisted students are hereby informed to provide their team name and team leader details through the link below.


Link: https://docs.google.com/forms/d/e/1FAIpQLSeMnvsuiIhAtXIweNAp-Uk4Tt9Nk6QmCiMlYb4M-yjmRntcPA/viewform?usp=publish-editor


Dean, Training & Placement",1780568211000.0,0,0.0,,active,2026-06-04 15:46:51
280.0,Deloitte Capstone_2027,Sir can we get the team formation rules ?,1780568484000.0,0,0.0,,active,2026-06-04 15:51:24
281.0,Deloitte Capstone_2027,"sir only these students are selected, as the previous list of selected students was kinda long",1780568518000.0,0,0.0,,active,2026-06-04 15:51:58
282.0,Deloitte Capstone_2027,total 47 selects,1780568558000.0,0,0.0,,active,2026-06-04 15:52:38
297.0,40407320768745@lid,forensics test msg one,1780571250526.0,5,1.0,,active,2026-06-04 16:37:30
298.0,40407320768745@lid,this msg will be recovered,1780571261942.0,5,1.0,,active,2026-06-04 16:37:41
299.0,40407320768745@lid,secret deleted info,1780571268605.0,5,1.0,,active,2026-06-04 16:37:48
300.0,40407320768745@lid,meet me at 5 pm,1780571276905.0,5,1.0,,active,2026-06-04 16:37:56
301.0,40407320768745@lid,this was deleted by suspect,1780571493959.0,5,1.0,,active,2026-06-04 16:41:33
324.0,Deloitte Capstone_2027,Anyone’s from mca dept?,1780634694000.0,0,0.0,,active,2026-06-05 10:14:54
328.0,40407320768745@lid,Heyy,1780636743419.0,13,1.0,,active,2026-06-05 10:49:03
330.0,40407320768745@lid,I am pavitra,1780636753513.0,13,1.0,,active,2026-06-05 10:49:13
341.0,🌹🌹तुळजा भवानी भक्तगण🌹🌹,"🚩🚩🌹🌹🌸🌸🕉️🕉️
श्री तुळजाभवानीची आजची पूजा दिनांक05-06-2026 वार शुक्रवार 
🚩🚩🌹🌹🌸🌸🕉️🕉️",1780649663000.0,0,0.0,,active,2026-06-05 14:24:23
375.0,40407320768745@lid,Hey,1780651025995.0,13,1.0,,active,2026-06-05 14:47:05
376.0,40407320768745@lid,Hello,1780651030287.0,13,1.0,,active,2026-06-05 14:47:10
377.0,40407320768745@lid,hii,1780651036515.0,13,1.0,,active,2026-06-05 14:47:16
378.0,40407320768745@lid,What r u doing,1780651043665.0,13,1.0,,active,2026-06-05 14:47:23
380.0,40407320768745@lid,I am good,1780651050609.0,13,1.0,,active,2026-06-05 14:47:30
381.0,40407320768745@lid,I am just testing my project,1780651065649.0,13,1.0,,active,2026-06-05 14:47:45
382.0,40407320768745@lid,Heyaaaaaaaaaaaaaaaa,1780651372017.0,13,1.0,,active,2026-06-05 14:52:52
384.0,40407320768745@lid,I am testing,1780651383748.0,13,1.0,,active,2026-06-05 14:53:03
385.0,40407320768745@lid,This is forensics project,1780651396420.0,13,1.0,,active,2026-06-05 14:53:16
390.0,40407320768745@lid,Heyy,1780651776927.0,5,1.0,,active,2026-06-05 14:59:36
391.0,40407320768745@lid,Hello,1780651780092.0,5,1.0,,active,2026-06-05 14:59:40
392.0,40407320768745@lid,How r u?,1780651785810.0,5,1.0,,active,2026-06-05 14:59:45
393.0,40407320768745@lid,What r u doing,1780651791261.0,5,1.0,,active,2026-06-05 14:59:51
394.0,40407320768745@lid,These r the test messages,1780651811202.0,5,1.0,,active,2026-06-05 15:00:11
395.0,40407320768745@lid,Helloooooo,1780652028991.0,5,1.0,,active,2026-06-05 15:03:48
396.0,40407320768745@lid,I am testing whether it's working or not,1780652042088.0,5,1.0,,active,2026-06-05 15:04:02
404.0,40407320768745@lid,This is my WhatsApp forensics project,1780652307277.0,5,1.0,,active,2026-06-05 15:08:27
405.0,40407320768745@lid,I will send some test msgs,1780652317413.0,5,1.0,,active,2026-06-05 15:08:37
406.0,40407320768745@lid,I am checking whether it's working or not,1780652336312.0,5,1.0,,active,2026-06-05 15:08:56
362.0,40407320768745@lid,https://www.instagram.com/reel/DZH__Rusxxy/?igsh=MWtwaW4yYWxjcXY4aA==,1780655014000.0,0,0.0,,active,2026-06-05 15:53:34
433.0,40407320768745@lid,Good afternoon,1780655738884.0,5,1.0,,active,2026-06-05 16:05:38
434.0,40407320768745@lid,This is the lunch time,1780655747886.0,5,1.0,,active,2026-06-05 16:05:47
437.0,40407320768745@lid,is,1780655776568.0,5,1.0,,active,2026-06-05 16:06:16
364.0,40407320768745@lid,https://www.instagram.com/reel/DZJ3S0vgDBQ/?igsh=MXgxM3huMTMxaHloag==,1780655952000.0,0,0.0,,active,2026-06-05 16:09:12
365.0,40407320768745@lid,https://www.instagram.com/reel/DY2YyFovq24/?igsh=MWtjbHNpYzIwZXhyZg==,1780656461000.0,0,0.0,,active,2026-06-05 16:17:41
775.0,40407320768745@lid,xyz,1780658937771.0,5,1.0,,active,2026-06-05 16:58:57
386.0,40407320768745@lid,Where are you,1780987524000.0,0,0.0,,active,2026-06-09 12:15:24
387.0,40407320768745@lid,Hello,1780987536000.0,0,0.0,,active,2026-06-09 12:15:36
388.0,40407320768745@lid,Tell,1780987541000.0,0,0.0,,active,2026-06-09 12:15:41
389.0,40407320768745@lid,Fast,1780987543000.0,0,0.0,,active,2026-06-09 12:15:43
401.0,265944425332905@lid,Heyy,1780988280000.0,0,0.0,,active,2026-06-09 12:28:00
402.0,265944425332905@lid,Can we eat in canteen,1780988289000.0,0,0.0,,active,2026-06-09 12:28:09
412.0,🌹🌹तुळजा भवानी भक्तगण🌹🌹,"🚩🚩🌹🌹🌸🌸🕉️🕉️
श्री तुळजाभवानीची आजची पूजा दिनांक09-06-2026 वार मंगळवार 
🚩🚩🌹🌹🌸🌸🕉️🕉️",1780990753000.0,0,0.0,,active,2026-06-09 13:09:13
